0x0L,daddiu  $sp, -0x10
0x4L,sd      $gp, 0x10+var_10($sp)
0x8L,lui     $gp, chmod_or_fchmod
0xcL,daddu   $gp, $t9
0x10L,dli     $v0, 0xFFFFFFFFFFFFFFFF
0x14L,sd      $ra, 0x10+var_8($sp)
0x18L,beq     $a1, $v0, loc_40
0x1cL,daddiu  $gp, chmod_or_fchmod
0x20L,ld      $t9, (fchmod & 0xFFFF)($gp)
0x24L,move    $a0, $a1
0x28L,jalr    $t9
0x2cL,move    $a1, $a2
0x30L,ld      $ra, 0x10+var_8($sp)
0x34L,ld      $gp, 0x10+var_10($sp)
0x38L,jr      $ra
0x3cL,daddiu  $sp, 0x10
0x40L,ld      $t9, (chmod & 0xFFFF)($gp)
0x44L,jalr    $t9
0x48L,move    $a1, $a2
0x4cL,ld      $ra, 0x10+var_8($sp)
0x50L,ld      $gp, 0x10+var_10($sp)
0x54L,jr      $ra
0x58L,daddiu  $sp, 0x10
0x60L,jr      $ra
0x64L,move    $v0, $zero
0x68L,daddiu  $sp, -0x30
0x6cL,sd      $gp, 0x30+var_10($sp)
0x70L,lui     $gp, (copy_acl - copy_acl)
0x74L,daddu   $gp, $t9
0x78L,dli     $v0, 0xFFFFFFFFFFFFFFFF
0x7cL,sd      $s1, 0x30+var_20($sp)
0x80L,sd      $ra, 0x30+var_8($sp)
0x84L,sd      $s2, 0x30+var_18($sp)
0x88L,sd      $s0, 0x30+var_28($sp)
0x8cL,daddiu  $gp, (copy_acl - copy_acl)
0x90L,beq     $a3, $v0, loc_128
0x94L,move    $s1, $a2
0x98L,ld      $t9, (fchmod & 0xFFFF)($gp)
0x9cL,move    $a0, $a3
0xa0L,jalr    $t9
0xa4L,move    $a1, $a4
0xa8L,move    $s0, $v0
0xacL,beqz    $s0, loc_108
0xb0L,ld      $ra, 0x30+var_8($sp)
0xb4L,ld      $t9, (__errno_location & 0xFFFF)($gp)
0xb8L,jalr    $t9
0xbcL,nop
0xc0L,ld      $a1, 0($gp)
0xc4L,ld      $t9, (dcgettext & 0xFFFF)($gp)
0xc8L,daddiu  $a1, 0
0xccL,li      $a2, 5
0xd0L,move    $a0, $zero
0xd4L,jalr    $t9
0xd8L,lw      $s2, 0($v0)
0xdcL,ld      $t9, (quote & 0xFFFF)($gp)
0xe0L,move    $a0, $s1
0xe4L,jalr    $t9
0xe8L,move    $s1, $v0
0xecL,ld      $t9, (error & 0xFFFF)($gp)
0xf0L,move    $a0, $zero
0xf4L,move    $a1, $s2
0xf8L,move    $a2, $s1
0xfcL,jalr    $t9
0x100L,move    $a3, $v0
0x104L,ld      $ra, 0x30+var_8($sp)
0x108L,move    $v0, $s0
0x10cL,ld      $gp, 0x30+var_10($sp)
0x110L,ld      $s2, 0x30+var_18($sp)
0x114L,ld      $s1, 0x30+var_20($sp)
0x118L,ld      $s0, 0x30+var_28($sp)
0x11cL,jr      $ra
0x120L,daddiu  $sp, 0x30
0x128L,ld      $t9, (chmod & 0xFFFF)($gp)
0x12cL,move    $a0, $a2
0x130L,jalr    $t9
0x134L,move    $a1, $a4
0x138L,b       loc_AC
0x13cL,move    $s0, $v0
0x140L,daddiu  $sp, -0x30
0x144L,sd      $gp, 0x30+var_10($sp)
0x148L,lui     $gp, (set_acl - set_acl)
0x14cL,daddu   $gp, $t9
0x150L,dli     $v0, 0xFFFFFFFFFFFFFFFF
0x154L,sd      $s1, 0x30+var_20($sp)
0x158L,sd      $ra, 0x30+var_8($sp)
0x15cL,sd      $s2, 0x30+var_18($sp)
0x160L,sd      $s0, 0x30+var_28($sp)
0x164L,daddiu  $gp, (set_acl - set_acl)
0x168L,beq     $a1, $v0, loc_200
0x16cL,move    $s1, $a0
0x170L,ld      $t9, (fchmod & 0xFFFF)($gp)
0x174L,move    $a0, $a1
0x178L,jalr    $t9
0x17cL,move    $a1, $a2
0x180L,move    $s0, $v0
0x184L,beqz    $s0, loc_1E0
0x188L,ld      $ra, 0x30+var_8($sp)
0x18cL,ld      $t9, (__errno_location & 0xFFFF)($gp)
0x190L,jalr    $t9
0x194L,nop
0x198L,ld      $a1, 0($gp)
0x19cL,ld      $t9, (dcgettext & 0xFFFF)($gp)
0x1a0L,daddiu  $a1, 0
0x1a4L,li      $a2, 5
0x1a8L,move    $a0, $zero
0x1acL,jalr    $t9
0x1b0L,lw      $s2, 0($v0)
0x1b4L,ld      $t9, (quote & 0xFFFF)($gp)
0x1b8L,move    $a0, $s1
0x1bcL,jalr    $t9
0x1c0L,move    $s1, $v0
0x1c4L,ld      $t9, (error & 0xFFFF)($gp)
0x1c8L,move    $a0, $zero
0x1ccL,move    $a1, $s2
0x1d0L,move    $a2, $s1
0x1d4L,jalr    $t9
